storenum;OPENDATE;date_super;conversion;st;county;STREETADDR;STRCITY;STRSTATE;ZIPCODE;type_store
677;07.04.1981;03.01.1994;1;47;45;2650 LAKE ROAD;Dyersburg;TN;38024;Supercenter
678;07.04.1981;03.01.1995;1;47;29;1075 COSBY HWY;Newport;TN;37821;Supercenter
680;07.04.1981;4/13/2005 ;1;47;59;3755 E ANDREW JOHNSON HWY;Greeneville;TN;37745;Supercenter
681;07.04.1981;03.01.1996;1;1;95;11697 U.S. HWY 431;Guntersville;AL;35976;Supercenter
682;07.04.1981;03.01.1995;1;47;149;2000 OLD FORT PARKWAY;Murfreesboro;TN;37129;Supercenter
683;07.04.1981;03.01.1996;1;47;99;2130 NO.LOCUST AVE;Lawrenceburg;TN;38464;Supercenter
684;07.04.1981;10/16/2002 ;1;47;77;547 WEST CHURCH ST.;Lexington;TN;38351;Supercenter
685;07.04.1981;7/18/2001 ;1;47;63;475 SO. DAVY CROCKETT PKWY;Morristown;TN;37813;Supercenter
686;02.05.1985;3/17/2004 ;1;13;17;120 BENJAMIN H HILL DR. SW;Fitzgerald;GA;31750;Supercenter
687;07.04.1981;03.01.1996;1;47;35;2542 NORTH MAIN STREET;Crossville;TN;38555;Supercenter
688;07.04.1981;;;47;37;5520 NOLENSVILLE PIKE;Nashville;TN;37211;Wal-Mart
689;07.04.1981;03.01.2000;1;21;199;177 WASHINGTON DRIVE;Somerset;KY;42503;Supercenter
690;07.04.1981;1/26/2005 ;1;47;19;1001 OVER MOUNTAIN AVENUE;Elizabethton;TN;37643;Supercenter
691;07.04.1981;03.01.1996;1;1;49;2001 GLENN BLDV SW;Fort Payne;AL;35968;Supercenter
692;07.04.1981;03.01.1995;1;21;21;100 WALTON AVE;Danville;KY;40422;Supercenter
693;7/16/1985 ;;;21;25;1589 KENTUCKY / HWY 15 SOUTH;Jackson;KY;41339;Wal-Mart
694;07.04.1981;;;21;101;2480 US HWY 41 NORTH;Henderson;KY;42420;Wal-Mart
695;07.04.1981;;;47;37;2232 GALLATIN PIKE NORTH;Nashville;TN;37115;Wal-Mart
696;09.10.1985;;;21;71;477 VILLAGE DRIVE;Prestonsburg;KY;41653;Wal-Mart
697;10/16/1984 ;4/18/2001 ;1;12;83;2600 SW 19TH AVE;Ocala;FL;34474;Supercenter
698;07.04.1981;03.01.1995;1;47;11;4495 KEITH ST N.W.;Cleveland;TN;37312;Supercenter
699;07.04.1981;8/14/2002 ;1;28;71;2530 WEST JACKSON AVENUE;Oxford;MS;38655;Supercenter
700;07.04.1981;03.01.1995;1;1;47;1501 HWY 14 EAST;Selma;AL;36703;Supercenter
701;07.04.1981;03.01.1997;1;21;59;5031 FREDERICA STREET;Owensboro;KY;42301;Supercenter
702;07.04.1981;03.01.1997;1;21;49;1859 BYPASS RD;Winchester;KY;40391;Supercenter
703;10/16/1984 ;03.01.1999;1;48;201;27650 TOMBALL PKWY;Tomball;TX;77375;Supercenter
705;9/18/1984 ;03.01.1997;1;12;69;17030 US HWY 441;Mount Dora;FL;32757;Supercenter
706;8/31/1984 ;9/18/2002 ;1;12;101;7631 GALL BOULEVARD;Zephyrhills;FL;33540;Supercenter
707;07.04.1981;1/26/2005 ;1;28;27;1000 SO. STATE STREET;Clarksdale;MS;38614;Supercenter
708;5/14/1985 ;03.01.1998;1;28;149;2150 IOWA BLVD;Vicksburg;MS;39180;Supercenter
709;07.04.1981;03.01.1996;1;21;93;100 WAL-MART DRIVE;Elizabethtown;KY;42701;Supercenter
710;07.04.1981;1/28/2004 ;1;47;37;4424 LEBANON PIKE;Hermitage;TN;37076;Supercenter
711;07.04.1981;4/13/2005 ;1;21;9;2345 HAPPY VALLEY ROAD;Glasgow;KY;42141;Supercenter
712;07.04.1981;03.01.1999;1;1;71;24833 JOHNT REIDPRKW;Scottsboro;AL;35768;Supercenter
713;10/23/1984 ;;;12;101;12650 HWY 301 SOUTH;Dade City;FL;33525;Wal-Mart
714;07.04.1981;03.01.1994;1;5;107;602 SHELIA STREET;West Helena5119;AR;72390;Supercenter
715;07.04.1981;03.01.1994;1;1;125;1501 SKYLAND BLVD E;Tuscaloosa;AL;35405;Supercenter
716;07.04.1981;;;28;83;2302 HWY 82 WEST;Greenwood;MS;38930;Wal-Mart
718;11/13/1984 ;5/19/2004 ;1;12;105;2120 US HWY 92 WEST;Auburndale;FL;33823;Supercenter
719;07.04.1981;03.01.1996;1;21;151;820 EASTERN BYPASS;Richmond;KY;40475;Supercenter
720;07.04.1981;03.01.1997;1;21;73;301 LEONARDWOOD DRIVE;Frankfort;KY;40601;Supercenter
721;1/22/1985 ;03.01.1995;1;12;15;19100 MURDOCK CIRCLE;Port Charlotte;FL;33948;Supercenter
722;07.04.1981;1/23/2006 ;1;13;45;1735 SOUTH PARK STREET;Carrollton;GA;30117;Supercenter
723;07.04.1981;03.01.1999;1;1;109;1420 US 231 SOUTH;Troy;AL;36081;Supercenter
724;11/13/1984 ;03.01.1995;1;47;89;630 EAST BROADWAY;Jefferson City;TN;37760;Supercenter
725;10/16/1984 ;03.01.1999;1;12;105;36205 US HIGHWAY 27;Haines City;FL;33844;Supercenter
726;07.04.1981;03.01.1996;1;1;123;2643 HWY 280 WEST;Alexander City;AL;35010;Supercenter
727;07.04.1981;;;13;233;109 DAVIS ROAD;Cedartown;GA;30125;Wal-Mart
728;1/22/1985 ;;;45;13;25 PEMBROKE DRIVE;Hilton Hd Island;SC;29926;Wal-Mart
729;07.04.1981;10/27/2004 ;1;21;179;3795 E. JOHN ROWAN BLVD;Bardstown;KY;40004;Supercenter
730;07.04.1981;03.01.1996;1;1;121;41301 U.S. HWY 280;Sylacauga;AL;35150;Supercenter
731;07.04.1981;1/23/2006 ;1;1;91;969 US HWY 80 WEST;Demopolis;AL;36732;Supercenter
733;07.04.1981;03.01.1997;1;1;17;3501 20TH AV;Valley;AL;36854;Supercenter
734;07.04.1981;03.01.1994;1;1;31;600 BOLL WEEVIL CIRCLE;Enterprise;AL;36330;Supercenter
735;07.04.1981;03.01.1995;1;47;51;2675 DECHERD BLVD;Winchester;TN;37398;Supercenter
736;07.04.1981;1/27/2006 ;1;21;141;120 SAM WALTON DRIVE;Russellville;KY;42276;Supercenter
